,referralId,reasons.count,reasons.items,venue.id,venue.name,venue.location.address,venue.location.crossStreet,venue.location.lat,venue.location.lng,venue.location.labeledLatLngs,venue.location.cc,venue.location.city,venue.location.state,venue.location.country,venue.location.formattedAddress,venue.categories,venue.photos.count,venue.photos.groups,venue.location.postalCode,venue.location.neighborhood,venue.venuePage.id,flags.outsideRadius
0,e-0-5053a792e4b0a13301e8e95d-0,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",5053a792e4b0a13301e8e95d,Great Dane Coffee,6011 Walter Gage Road,at St. Andrew’s Walk,49.2700492261176,-123.25073709585315,"[{'label': 'display', 'lat': 49.2700492261176, 'lng': -123.25073709585315}]",CA,Vancouver,BC,Canada,"['6011 Walter Gage Road (at St. Andrew’s Walk)', 'Vancouver BC', 'Canada']","[{'id': '4bf58dd8d48988d16d941735', 'name': 'Café', 'pluralName': 'Cafés', 'shortName': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True}]",0,[],,,,
1,e-0-5d1afb3b7226a5002304308e-1,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",5d1afb3b7226a5002304308e,Tim Hortons,6501 Main St,49th Ave,49.225581,-123.101832,"[{'label': 'display', 'lat': 49.225581, 'lng': -123.101832}]",CA,Vancouver,BC,Canada,"['6501 Main St (49th Ave)', 'Vancouver BC V5X', 'Canada']","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",0,[],V5X,,,
2,e-0-4b6e30b0f964a520a5b02ce3-2,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b6e30b0f964a520a5b02ce3,Tim Hortons,1384 Main St,at Harbour Ave,49.30660011782691,-123.03447984158993,"[{'label': 'display', 'lat': 49.30660011782691, 'lng': -123.03447984158993}]",CA,North Vancouver,BC,Canada,"['1384 Main St (at Harbour Ave)', 'North Vancouver BC V7J 1C6', 'Canada']","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",0,[],V7J 1C6,,,
3,e-0-4aa6a5e6f964a5207e4a20e3-3,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4aa6a5e6f964a5207e4a20e3,Tim Hortons,200 Burrard St,btwn Burrard & Howe,49.2877056,-123.114904,"[{'label': 'display', 'lat': 49.2877056, 'lng': -123.114904}]",CA,Vancouver,BC,Canada,"['200 Burrard St (btwn Burrard & Howe)', 'Vancouver BC V6C 3L6', 'Canada']","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",0,[],V6C 3L6,,,
4,e-0-60c0e6aabc1aaf0666085360-4,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",60c0e6aabc1aaf0666085360,Nemesis Coffee,555 Great Northern Way,btwn Thornton & Carolina,49.26707295886127,-123.09262812137604,"[{'label': 'display', 'lat': 49.26707295886127, 'lng': -123.09262812137604}]",CA,Vancouver,BC,Canada,"['555 Great Northern Way (btwn Thornton & Carolina)', 'Vancouver BC V5T 1E1', 'Canada']","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",0,[],V5T 1E1,,,
5,e-0-6110612c9eca6a020ef4b9f9-5,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",6110612c9eca6a020ef4b9f9,Liberte Cafe and Restaurant,3670 Vanness Avenue,Ormidale,49.234653,-123.024569,"[{'label': 'display', 'lat': 49.234653, 'lng': -123.024569}]",CA,Vancouver,BC,Canada,"['3670 Vanness Avenue (Ormidale)', 'Vancouver BC V5R 0G7', 'Canada']","[{'id': '4bf58dd8d48988d16d941735', 'name': 'Café', 'pluralName': 'Cafés', 'shortName': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True}]",0,[],V5R 0G7,,,
6,e-0-4abf0cc7f964a520c59020e3-6,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4abf0cc7f964a520c59020e3,Tim Hortons,9731 Bridgeport Rd,,49.1922796684756,-123.11618529260159,"[{'label': 'display', 'lat': 49.1922796684756, 'lng': -123.11618529260159}]",CA,Richmond,BC,Canada,"['9731 Bridgeport Rd', 'Richmond BC V6X 1S3', 'Canada']","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",0,[],V6X 1S3,,,
7,e-0-4ad4ea41f964a520aafc20e3-7,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4ad4ea41f964a520aafc20e3,The Boulevard Coffee Roasting Co.,5970 University Blvd,at Wesbrook Mall,49.26613681791866,-123.24650099678563,"[{'label': 'display', 'lat': 49.26613681791866, 'lng': -123.24650099678563}]",CA,Vancouver,BC,Canada,"['5970 University Blvd (at Wesbrook Mall)', 'Vancouver BC V6T 1Z3', 'Canada']","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",0,[],V6T 1Z3,UBC,,
8,e-0-4aba526df964a520df8020e3-8,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4aba526df964a520df8020e3,Tim Hortons,805 Boyd St,at Queensborough Landing,49.19058547687921,-122.94849023222923,"[{'label': 'display', 'lat': 49.19058547687921, 'lng': -122.94849023222923}]",CA,New Westminster,BC,Canada,"['805 Boyd St (at Queensborough Landing)', 'New Westminster BC V3M 5X2', 'Canada']","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",0,[],V3M 5X2,,,
9,e-0-50c68ae6e4b0860fb515014a-9,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",50c68ae6e4b0860fb515014a,DAVIDsTEA,701 W Georgia St D #038D,,49.28380789641614,-123.11705058323564,"[{'label': 'display', 'lat': 49.28380789641614, 'lng': -123.11705058323564}]",CA,Vancouver,BC,Canada,"['701 W Georgia St D #038D', 'Vancouver BC V7Y 1G5', 'Canada']","[{'id': '4bf58dd8d48988d1dc931735', 'name': 'Tea Room', 'pluralName': 'Tea Rooms', 'shortName': 'Tea Room', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/tearoom_', 'suffix': '.png'}, 'primary': True}]",0,[],V7Y 1G5,,1359069106,
